"osm_id","name","gid"
-62630,"Mainz","07315000"
-62629,"Passau","09262000"
-62628,"Oder-Spree","12067"
-62627,"Landkreis Bamberg","09471"
-62626,"Neckar-Odenwald-Kreis","08225"
-62624,"Ortenaukreis","08317"
-62623,"Landkreis Ahrweiler","07131"
-62622,"Landkreis Augsburg","09772"
-62621,"Landkreis Nordhausen","16062"
-62620,"Landkreis Neumarkt in der Oberpfalz","09373"
-62618,"Landkreis Schmalkalden-Meiningen","16066"
-62617,"Landkreis Rotenburg (Wümme)","03357"
-62616,"Wartburgkreis","16063"
-62615,"Landkreis Vulkaneifel","07233"
-62614,"Landkreis Kelheim","09273"
-62613,"Landkreis Northeim","03155"
-62610,"Rhein-Pfalz-Kreis","07338"
-62609,"Landkreis Ansbach","09571"
-62608,"Landkreis Celle","03351"
-62606,"Kreis Borken","05554"
-62604,"Kyffhäuserkreis","16065"
-62603,"Landkreis Konstanz","08335"
-62602,"Altmarkkreis Salzwedel","15081"
-62601,"Landkreis Calw","08235"
-62600,"Landkreis Weilheim-Schongau","09190"
-62598,"Kassel","06611000"
-62597,"Landkreis Cloppenburg","03453"
-62596,"Odenwaldkreis","06437"
-62595,"Landkreis Fürstenfeldbruck","09179"
-62594,"Chemnitz","14511000"
-62592,"Landkreis Rottal-Inn","09277"
-62591,"Münster","05515000"
-62590,"Memmingen","09764000"
-62589,"Hof","09464000"
-62588,"Landkreis Sömmerda","16068"
-62587,"Landkreis Lörrach","08336"
-62586,"Werra-Meißner-Kreis","06636"
-62585,"Landkreis Limburg-Weilburg","06533"
-62584,"Eifelkreis Bitburg-Prüm","07232"
-62582,"Landkreis Schwäbisch Hall","08127"
-62581,"Darmstadt","06411000"
-62580,"Landkreis München","09184"
-62579,"Saarpfalz-Kreis","10045"
-62578,"Köln","05315000"
-62577,"Rhein-Neckar-Kreis","08226"
-62575,"Landkreis Tirschenreuth","09377"
-62574,"Ostprignitz-Ruppin","12068"
-62573,"Frankenthal (Pfalz)","07311000"
-62572,"Landkreis Mayen-Koblenz","07137"
-62571,"Oberspreewald-Lausitz","12066"
-62569,"Landkreis Cochem-Zell","07135"
-62567,"Landkreis Leer","03457"
-62566,"Hochtaunuskreis","06434"
-62565,"Landkreis Regensburg","09375"
-62563,"Landkreis Waldeck-Frankenberg","06635"
-62562,"Emden","03402000"
-62561,"Landkreis Coburg","09473"
-62559,"Bremen","04011000"
-62558,"Landkreis Wolfenbüttel","03158"
-62556,"Landkreis Dachau","09174"
-62555,"Kreis Euskirchen","05366"
-62554,"Weiden in der Oberpfalz","09363000"
-62553,"Barnim","12060"
-62552,"Landkreis Sonneberg","16072"
-62550,"Landkreis Grafschaft Bentheim","03456"
-62548,"Landkreis Cham","09372"
-62547,"Nordsachsen","14730"
-62546,"Stormarn","01062"
-62544,"Rhein-Sieg-Kreis","05382"
-62543,"Vogelsbergkreis","06535"
-62542,"Main-Tauber-Kreis","08128"
-62541,"Landkreis Passau","09275"
-62540,"Landkreis Emsland","03454"
-62539,"Düsseldorf","05111000"
-62537,"Uckermark","12073"
-62536,"Landkreis Ludwigsburg","08118"
-62535,"Rhein-Kreis Neuss","05162"
-62534,"Schweinfurt","09662000"
-62533,"Landkreis Ostallgäu","09777"
-62532,"Aschaffenburg","09661000"
-62531,"Braunschweig","03101000"
-62530,"Landkreis Schweinfurt","09678"
-62528,"Neumünster","01004000"
-62527,"Rhein-Hunsrück-Kreis","07140"
-62526,"Dessau-Roßlau","15001000"
-62525,"Bamberg","09461000"
-62524,"Kreis Höxter","05762"
-62523,"Frankfurt (Oder)","12053000"
-62522,"Gelsenkirchen","05513000"
-62521,"Landkreis Dillingen an der Donau","09773"
-62520,"Landkreis Haßberge","09674"
-62519,"Wetteraukreis","06440"
-62518,"Karlsruhe","08212000"
-62515,"Landkreis Lichtenfels","09478"
-62514,"Landkreis Neustadt an der Aisch-Bad Windsheim","09575"
-62512,"Koblenz","07111000"
-62511,"Meißen","14627"
-62510,"Landkreis Holzminden","03255"
-62508,"Bonn","05314000"
-62505,"Elbe-Elster","12062"
-62502,"Salzlandkreis","15089"
-62500,"Landkreis Eichsfeld","16061"
-62499,"Hamm","05915000"
-62498,"Landkreis Landsberg am Lech","09181"
-62497,"Landkreis Aschaffenburg","09671"
-62496,"Wiesbaden","06414000"
-62495,"Ulm","08421000"
-62494,"Landkreis Peine","03157"
-62493,"Weimar","16055000"
-62492,"Altenburger Land","16077"
-62491,"Landkreis Wunsiedel im Fichtelgebirge","09479"
-62489,"Kreis Viersen","05166"
-62488,"Oberhavel","12065"
-62485,"Sächsische Schweiz-Osterzgebirge","14628"
-62484,"Landshut","09261000"
-62483,"Kreis Lippe","05766"
-62482,"Stade","03359"
-62481,"Magdeburg","15003000"
-62480,"Kreis Herford","05758"
-62478,"Wuppertal","05124000"
-62477,"Jerichower Land","15086"
-62476,"Kreis Kleve","05154"
-62474,"Landkreis Neunkirchen","10043"
-62473,"Saalekreis","15088"
-62472,"Landkreis Bad Tölz-Wolfratshausen","09173"
-62471,"Pforzheim","08231000"
-62470,"Brandenburg an der Havel","12051000"
-62469,"Landkreis Neu-Ulm","09775"
-62468,"Landkreis Gotha","16067"
-62466,"Landkreis Saarlouis","10044"
-62465,"Landkreis Würzburg","09679"
-62464,"Würzburg","09663000"
-62462,"Landkreis Weimarer Land","16071"
